,model_configurations,rmse,mape,R,elapsed_time
0,"[10, 5]",0.12084364614528768,3781423261446.8384,0.4547294495924888,0.6866912841796875
1,"[20, 10]",0.11758232015493807,3757532505862.8394,0.5676006859098177,0.6144530773162842
2,"[50, 20]",0.11182231875698102,3529494130788.4575,0.7024537935156084,0.7018237113952637
3,"[100, 50]",0.11288010558124294,3835958215855.4116,0.7351867933969412,0.7117257118225098
4,"[200, 100]",0.11058246624189577,3561507923319.162,0.7473731301169687,0.7651803493499756
