,0
0,4122646464462.666
1,3753624642135.985
2,3896381973080.003
3,3529494130788.4575
4,4088755669741.8896
5,3886518606873.5527
6,4263451091144.4507
7,3915471989685.678
8,3795573410941.4634
9,4302320217812.9434
