loss,val_loss
0.002397953998297453,0.0018773634219542146
0.0006387578323483467,0.0008643702603876591
0.0003055632405448705,0.0003889787767548114
0.0001733485551085323,0.00023261593014467508
0.00012294955377001315,0.00018472755618859082
0.00010019090404966846,0.00015783478738740087
8.699925820110366e-05,0.00014126593305263668
7.72846833569929e-05,0.00012532116670627147
6.92662870278582e-05,0.00011292835552012548
6.243051029741764e-05,0.0001032648651744239
5.660226088366471e-05,9.378660615766421e-05
5.174571924726479e-05,8.511700434610248e-05
4.77133653475903e-05,7.857332821004093e-05
4.429482942214236e-05,7.289632776519284e-05
4.136007191846147e-05,6.801832205383107e-05
3.881925658788532e-05,6.303896225290373e-05
3.6585191992344335e-05,6.0128859331598505e-05
3.461686719674617e-05,5.687119482900016e-05
3.287011350039393e-05,5.4448832088382915e-05
3.1334311643149704e-05,5.301312921801582e-05
2.996690454892814e-05,5.071109626442194e-05
2.8763277441612445e-05,4.836526568396948e-05
2.770663923001848e-05,4.660629929276183e-05
2.6770567274070345e-05,4.484853343456052e-05
2.5967763576772995e-05,4.3632015149341896e-05
2.5272769562434405e-05,4.219504990032874e-05
2.4687755285413004e-05,4.142606849200092e-05
2.419910924800206e-05,4.043611261295155e-05
2.3795582819730043e-05,3.973480124841444e-05
2.342653169762343e-05,3.943099363823421e-05
2.3125834559323266e-05,3.878439019899815e-05
2.2846588763059117e-05,3.817132892436348e-05
2.2606027414440177e-05,3.769010800169781e-05
2.2385029296856374e-05,3.723551344592124e-05
2.2171805539983325e-05,3.706096686073579e-05
2.1971340174786747e-05,3.655302862171084e-05
2.1751240637968294e-05,3.613343869801611e-05
2.1556283172685653e-05,3.603083314374089e-05
2.1377118173404597e-05,3.548849417711608e-05
2.1215875676716678e-05,3.5168359318049625e-05
2.1082008970552124e-05,3.496512726997025e-05
2.0968785975128412e-05,3.500586171867326e-05
2.0874562324024737e-05,3.46476626873482e-05
2.0784833395737223e-05,3.4675289498409256e-05
2.070788832497783e-05,3.4384858736302704e-05
2.0648363715736195e-05,3.4512449929025024e-05
2.057282836176455e-05,3.431563891354017e-05
2.05033957172418e-05,3.411047509871423e-05
2.046029840130359e-05,3.4112224966520444e-05
2.0419473003130406e-05,3.391196878510527e-05
2.0369472622405738e-05,3.386187381693162e-05
2.0326519006630406e-05,3.409524288144894e-05
2.031955955317244e-05,3.375559754204005e-05
2.026340735028498e-05,3.374791776877828e-05
2.0234292605891824e-05,3.36912416969426e-05
2.0187657355563715e-05,3.381094575161114e-05
2.015910649788566e-05,3.359880793141201e-05
2.011831929848995e-05,3.352919520693831e-05
2.0094221326871775e-05,3.345500590512529e-05
2.0069608581252396e-05,3.343872231198475e-05
2.0035520719829947e-05,3.334579014335759e-05
2.0009530999232084e-05,3.3289328712271526e-05
1.9973287635366432e-05,3.323402052046731e-05
1.9956081814598292e-05,3.3339842048007995e-05
1.9903620341210626e-05,3.314130299258977e-05
1.990410964936018e-05,3.310439205961302e-05
1.9871415133820847e-05,3.312975604785606e-05
1.983455331355799e-05,3.313668639748357e-05
1.9825749404844828e-05,3.3066120522562414e-05
1.9779008653131314e-05,3.2965486752800643e-05
1.975809755094815e-05,3.292701148893684e-05
1.97320623556152e-05,3.2837942853802815e-05
1.9718947442015633e-05,3.278284930274822e-05
1.9690442059072666e-05,3.274461050750688e-05
1.9664195860968903e-05,3.2889231079025194e-05
1.964731200132519e-05,3.2783776987344027e-05
1.963451359188184e-05,3.2687908969819546e-05
1.9619350496213883e-05,3.2577216188656166e-05
1.9605566194513813e-05,3.2713916880311444e-05
1.9583791072363965e-05,3.274927075835876e-05
1.9586919734138064e-05,3.2703934266464785e-05
1.9549588614609092e-05,3.261214806116186e-05
1.9544089809642173e-05,3.269794979132712e-05
1.9518347471603192e-05,3.249667497584596e-05
1.9508879631757736e-05,3.2457632187288254e-05
1.9478982721921057e-05,3.247961649321951e-05
1.9469418475637212e-05,3.2626416214043275e-05
1.9460971088847145e-05,3.245850166422315e-05
1.9444190911599435e-05,3.238596400478855e-05
1.9442928532953374e-05,3.236255724914372e-05
1.94301173905842e-05,3.2467938581248745e-05
1.940514994203113e-05,3.2288633519783616e-05
1.9376469936105423e-05,3.257858770666644e-05
1.9368853827472776e-05,3.229436697438359e-05
1.9359316866029985e-05,3.224344254704192e-05
1.934241663548164e-05,3.225256659789011e-05
1.930557300511282e-05,3.225084947189316e-05
1.931990664161276e-05,3.2164170988835394e-05
1.930175676534418e-05,3.2181043934542686e-05
1.9278695617686026e-05,3.23737294820603e-05
