loss,val_loss
0.003298056311905384,0.0012339683016762137
0.0005159453721717,0.0005320092313922942
0.00022966194956097752,0.0003068600199185312
0.00015343619452323765,0.0002280202752444893
0.00012015114771202207,0.00018160740728490055
9.87109960988164e-05,0.00015368664753623307
8.366267866222188e-05,0.00013581216626334935
7.340263982769102e-05,0.00012388343748170882
6.627215043408796e-05,0.00011682174226734787
6.0997910622972995e-05,0.00011151490616612136
5.678676825482398e-05,0.00010671890777302906
5.319936462910846e-05,0.00010328766802558675
5.010489985579625e-05,9.883946768241003e-05
4.735562106361613e-05,9.474669786868617e-05
4.486568650463596e-05,8.993421943159774e-05
4.2624291381798685e-05,8.528253965778276e-05
4.064727181685157e-05,8.11804857221432e-05
3.882946839439683e-05,7.699744310230017e-05
3.7191101000644267e-05,7.333878602366894e-05
3.570372427930124e-05,6.982055492699146e-05
3.43317624356132e-05,6.586925883311778e-05
3.302155892015435e-05,6.26824185019359e-05
3.1812691304367036e-05,5.967011384200305e-05
3.0710823921253905e-05,5.741550921811722e-05
2.9707442081416957e-05,5.481472908286378e-05
2.879927160392981e-05,5.245955617283471e-05
2.7982465326203965e-05,5.06587493873667e-05
2.719988697208464e-05,4.922918014926836e-05
2.6537136363913305e-05,4.7268149501178414e-05
2.5874753191601485e-05,4.6141198254190385e-05
2.5319306587334722e-05,4.491155414143577e-05
2.4799594029900618e-05,4.391812763060443e-05
2.433920781186316e-05,4.302631350583397e-05
2.395385308773257e-05,4.222040297463536e-05
2.359778227400966e-05,4.128504588152282e-05
2.3282162146642804e-05,4.0978706238092855e-05
2.301426684425678e-05,4.013324360130355e-05
2.2789394279243425e-05,3.966139047406614e-05
2.2561425794265233e-05,3.966405347455293e-05
2.2386573618859984e-05,3.87051586585585e-05
2.2190197341842577e-05,3.842128353426233e-05
2.202910400228575e-05,3.851221117656678e-05
2.1893622033530846e-05,3.758059028768912e-05
2.171953019569628e-05,3.724328053067438e-05
2.1595973521471024e-05,3.747048322111368e-05
2.1480791474459693e-05,3.6912428186042234e-05
2.1335148630896583e-05,3.64843217539601e-05
2.123462218150962e-05,3.626317629823461e-05
2.1083111278130673e-05,3.585337253753096e-05
2.0981720808777027e-05,3.5595505323726684e-05
