loss,val_loss
0.11788289248943329,0.03973580524325371
0.024978475645184517,0.019285669550299644
0.009462656453251839,0.008983512409031391
0.004431231413036585,0.005324420519173145
0.002764028264209628,0.0038594473153352737
0.002036037389189005,0.0030749524012207985
0.0016147344140335917,0.002555851126089692
0.0013314582174643874,0.00220007193274796
0.0011310410918667912,0.0019181346287950873
0.0009813442593440413,0.001688704127445817
0.0008609675569459796,0.0014989507617428899
0.0007580759702250361,0.0012991687981411815
0.000667092390358448,0.001130174263380468
0.0005850566667504609,0.0009683280368335545
0.0005107254255563021,0.0008204184123314917
0.00044264152529649436,0.0006784111610613763
0.0003787933965213597,0.0005657420260831714
0.0003180119092576206,0.00046866180491633713
0.00026283858460374177,0.00039024383295327425
0.00021783600095659494,0.00033140499726869166
0.00018380890833213925,0.0002861781686078757
0.00015789743338245898,0.00025175517657771707
0.00013730731734540313,0.00022012936824467033
0.00012026326294289902,0.00019324837194290012
0.00010578673391137272,0.00017117307288572192
9.337844676338136e-05,0.00015179612091742456
8.277189772343263e-05,0.00013592424511443824
7.367286889348179e-05,0.00012201916251797229
6.585539085790515e-05,0.0001100118097383529
5.9120735386386514e-05,9.901283192448318e-05
5.3319545259000733e-05,8.965079177869484e-05
4.826818258152343e-05,8.149979112204164e-05
4.3878306314582005e-05,7.369802915491164e-05
4.005528171546757e-05,6.699915684293956e-05
3.6731333239004016e-05,6.108560046413913e-05
3.37983037752565e-05,5.637988942908123e-05
3.120511973975226e-05,5.183096800465137e-05
2.909461545641534e-05,4.888221883447841e-05
2.7431520720710978e-05,4.618497041519731e-05
2.615747507661581e-05,4.393565177451819e-05
2.51786841545254e-05,4.182954580755904e-05
2.4423770810244605e-05,4.066268593305722e-05
2.3859231077949516e-05,3.978089080192149e-05
2.3410886569763534e-05,3.892546737915836e-05
2.3073709598975256e-05,3.8264024624368176e-05
2.2820013327873312e-05,3.802252467721701e-05
2.2633137632510625e-05,3.751456824829802e-05
2.2477890524896793e-05,3.753760756808333e-05
2.236110231024213e-05,3.742175249499269e-05
2.2254349460126832e-05,3.700437446241267e-05
2.218393456132617e-05,3.6749861465068534e-05
2.2119156710687093e-05,3.663938332465477e-05
2.2054129658499733e-05,3.660174843389541e-05
2.2019128664396703e-05,3.646924960776232e-05
2.1972093236399814e-05,3.683018803712912e-05
2.1914212993578985e-05,3.6389086744748056e-05
2.1873122022952884e-05,3.63773106073495e-05
2.1837407985003665e-05,3.6605004424927756e-05
2.1782445401186123e-05,3.642003139248118e-05
2.1764244593214244e-05,3.616029061959125e-05
2.172555832657963e-05,3.614848537836224e-05
2.1690364519599825e-05,3.627504702308215e-05
2.167682396247983e-05,3.60356061719358e-05
2.164700890716631e-05,3.60783415089827e-05
2.1614652723656036e-05,3.5948032746091485e-05
2.1581814507953823e-05,3.6000845284434035e-05
2.1562413166975603e-05,3.5913693864131346e-05
2.155095717171207e-05,3.5823944926960394e-05
2.1496114641195163e-05,3.586219827411696e-05
2.147708073607646e-05,3.5932433092966676e-05
2.1459272829815745e-05,3.5798049793811515e-05
2.1433965230244212e-05,3.5724595363717526e-05
2.1409332475741394e-05,3.574157381081022e-05
2.140879223588854e-05,3.562959318514913e-05
2.1377354642027058e-05,3.5713139368453994e-05
2.1361443941714242e-05,3.564105281839147e-05
2.132631379936356e-05,3.556974479579367e-05
2.132129156962037e-05,3.554040449671447e-05
2.1286114133545198e-05,3.556217416189611e-05
2.1266961994115263e-05,3.5541150282369927e-05
2.1239005945972167e-05,3.549931352608837e-05
2.1225314412731677e-05,3.547149390215054e-05
2.12086033570813e-05,3.544163701008074e-05
2.1171468688407913e-05,3.533604831318371e-05
2.1177203961997293e-05,3.548767199390568e-05
2.113746631948743e-05,3.5351527913007885e-05
2.1119109078426845e-05,3.53626674041152e-05
2.110196146531962e-05,3.523292252793908e-05
2.108690023305826e-05,3.530402318574488e-05
2.106680767610669e-05,3.525143984006718e-05
2.1055342585896142e-05,3.516274955472909e-05
2.1021085558459163e-05,3.5255896364105865e-05
2.099801531585399e-05,3.511542308842763e-05
2.0972398488083854e-05,3.51510061591398e-05
2.0945579308317974e-05,3.510393071337603e-05
2.090531233989168e-05,3.5135286452714354e-05
2.089206282107625e-05,3.4972166758961976e-05
2.085586493194569e-05,3.493891199468635e-05
2.0816927644773386e-05,3.48681460309308e-05
2.0763114662258886e-05,3.490882954793051e-05
2.0718345695058815e-05,3.469345028861426e-05
2.06974073080346e-05,3.501108585624024e-05
2.0648019926738925e-05,3.465414192760363e-05
2.060525002889335e-05,3.4905868233181536e-05
2.0573252186295576e-05,3.4559820051072165e-05
2.0551326088025235e-05,3.449824362178333e-05
2.0516406948445365e-05,3.4573266020743176e-05
2.0504439817159437e-05,3.43212959705852e-05
2.0465293346205726e-05,3.440523869358003e-05
2.042807318503037e-05,3.438930798438378e-05
2.0403826056281105e-05,3.4168351703556255e-05
2.0372959625092335e-05,3.4185926779173315e-05
2.0327584934420884e-05,3.405158713576384e-05
2.0292811313993298e-05,3.401116919121705e-05
2.0263805708964355e-05,3.3848333259811625e-05
2.021326872636564e-05,3.384921728866175e-05
2.019450766965747e-05,3.372317587491125e-05
2.0147926989011467e-05,3.36084958689753e-05
2.0114470316912048e-05,3.3524411264806986e-05
2.0075891370652243e-05,3.3508011256344616e-05
2.0037090507685207e-05,3.3351963793393224e-05
2.001010943786241e-05,3.333003041916527e-05
1.9983763195341453e-05,3.326107616885565e-05
1.997984691115562e-05,3.326196383568458e-05
1.9931865608668886e-05,3.317873415653594e-05
