loss,val_loss
0.0014573648804798722,0.0003746163274627179
0.0001477451151004061,0.00021491361258085817
8.614890248281881e-05,0.00016341877926606685
6.604817463085055e-05,0.0001332017418462783
5.5764692660886794e-05,0.00011457422078819945
4.9407626647735015e-05,9.948814840754494e-05
4.5051699999021366e-05,8.874673949321732e-05
4.180140604148619e-05,8.124464511638507e-05
3.924396150978282e-05,7.441041088895872e-05
3.71572605217807e-05,6.941345782252029e-05
3.543856291798875e-05,6.533792475238442e-05
3.3999593142652884e-05,6.184727681102231e-05
3.275879134889692e-05,5.920109833823517e-05
3.164032023050822e-05,5.694254650734365e-05
3.064983684453182e-05,5.508714821189642e-05
2.970932109747082e-05,5.296524250297807e-05
2.890507130359765e-05,5.1444829296087846e-05
2.8150157959316857e-05,5.007452637073584e-05
2.745677556958981e-05,4.892606375506148e-05
2.685582876438275e-05,4.747951606987044e-05
2.6270323360222392e-05,4.6754841605434194e-05
2.577004852355458e-05,4.5545119064627215e-05
2.5312107027275488e-05,4.485460522118956e-05
2.4863187718437985e-05,4.4059899664716795e-05
2.4485314497724175e-05,4.351627649157308e-05
2.413399488432333e-05,4.258838453097269e-05
2.3853106540627778e-05,4.2209478124277666e-05
2.3511898689321242e-05,4.1374893044121563e-05
2.3246069758897647e-05,4.105067637283355e-05
2.301202948729042e-05,4.040516068926081e-05
2.2758087652618997e-05,3.997088788310066e-05
2.2571219233213924e-05,3.931455285055563e-05
2.236402542621363e-05,3.9243856008397415e-05
2.218271401943639e-05,3.9803686377126724e-05
2.2029411411494948e-05,3.845103856292553e-05
2.1878333427594043e-05,3.8880796637386084e-05
2.1728252249886282e-05,3.808312976616435e-05
2.161823613278102e-05,3.7347064790083095e-05
2.1494433894986287e-05,3.711017416208051e-05
2.1352720068534836e-05,3.697099964483641e-05
2.128408414137084e-05,3.689574805321172e-05
2.1180985640967265e-05,3.6766061384696513e-05
2.10886137210764e-05,3.646818731795065e-05
2.1002635548938997e-05,3.627628393587656e-05
2.0923927877447568e-05,3.623851443990134e-05
2.0878502255072817e-05,3.604686207836494e-05
2.0753275748575106e-05,3.587603714549914e-05
2.0710251192213036e-05,3.569086402421817e-05
2.0639612557715736e-05,3.542592457961291e-05
2.057855272141751e-05,3.556717638275586e-05
