loss,val_loss
0.004242503549903631,0.0008767758263275027
0.0005489623290486634,0.00038541763206012547
0.0002504269650671631,0.0002571308286860585
0.0001654288062127307,0.00020398505148477852
0.00013115307956468314,0.00017655084957368672
0.00011161027214257047,0.0001557500654598698
9.789155592443421e-05,0.00014184918836690485
8.744443766772747e-05,0.00012986645742785186
7.902653305791318e-05,0.00011952769273193553
7.208150054793805e-05,0.00010962133092107251
6.621669308515266e-05,0.00010154749907087535
6.122676859376952e-05,9.397742542205378e-05
5.69764815736562e-05,8.703482308192179e-05
5.330349085852504e-05,8.054443605942652e-05
5.005385901313275e-05,7.568480214104056e-05
4.716682087746449e-05,7.096822082530707e-05
4.456839451449923e-05,6.695467163808644e-05
4.225653174216859e-05,6.347225280478597e-05
4.015309605165385e-05,6.029169526300393e-05
3.82770667783916e-05,5.806511762784794e-05
3.653323437902145e-05,5.59264408366289e-05
3.491998359095305e-05,5.361653893487528e-05
3.3437936508562416e-05,5.161331864655949e-05
3.212809679098427e-05,4.978505239705555e-05
3.0940074793761596e-05,4.8013283958425745e-05
2.989353561133612e-05,4.681422797148116e-05
2.8976177418371662e-05,4.569472366711125e-05
2.817901440721471e-05,4.4357726437738165e-05
2.7403602871345356e-05,4.345010529505089e-05
2.672331356734503e-05,4.268659540684894e-05
2.6104948119609617e-05,4.177301889285445e-05
2.5563938834238797e-05,4.097643613931723e-05
2.504984149709344e-05,4.0396575059276074e-05
2.462204429320991e-05,3.95824208681006e-05
2.420403870928567e-05,3.8935984775889665e-05
2.38439861277584e-05,3.8464513636427e-05
2.352306546526961e-05,3.804592415690422e-05
2.3197308109956793e-05,3.763451604754664e-05
2.2978640117798932e-05,3.744927016668953e-05
2.2716960302204825e-05,3.6930603528162464e-05
2.24892319238279e-05,3.674720574053936e-05
2.2319976778817363e-05,3.6570367228705436e-05
2.2113888917374425e-05,3.630260835052468e-05
2.1952600945951417e-05,3.600040145101957e-05
2.179467264795676e-05,3.577550160116516e-05
2.1666488464688882e-05,3.6188768717693165e-05
2.1553914848482236e-05,3.5588473110692576e-05
2.142379162251018e-05,3.551431291271001e-05
2.1307319912011735e-05,3.5146142181474715e-05
2.119353121088352e-05,3.491039024083875e-05
