loss,val_loss
0.0009003038285300136,0.00014833021850790828
5.45128968951758e-05,7.953735621413216e-05
3.709983502631076e-05,6.456291885115206e-05
3.1876188586466014e-05,5.7441626267973334e-05
2.934487747552339e-05,5.317160685081035e-05
2.7677739126374945e-05,5.0587412260938436e-05
2.6486190108698793e-05,4.852059646509588e-05
2.5558509150869213e-05,4.595449718181044e-05
2.4868486434570514e-05,4.475179230212234e-05
2.4330873202416115e-05,4.3870903027709574e-05
2.387114000157453e-05,4.2483301513129845e-05
2.3530408725491725e-05,4.155730493948795e-05
2.3254979168996215e-05,4.116454510949552e-05
2.2922591597307473e-05,4.054891178384423e-05
2.2694972358294763e-05,4.004248694400303e-05
2.245802534162067e-05,3.956068030674942e-05
2.2275402443483472e-05,3.958732122555375e-05
2.216567372670397e-05,3.9048391045071185e-05
2.193066757172346e-05,3.8550508179469034e-05
2.172157655877527e-05,3.815883246716112e-05
2.1641655621351674e-05,3.810125053860247e-05
2.1457051843754016e-05,3.7706937291659415e-05
2.1342111722333357e-05,3.753054261323996e-05
2.124588172591757e-05,3.715298589668237e-05
2.1126592400833033e-05,3.7072153645567596e-05
2.1030464267823845e-05,3.661151276901364e-05
2.091192982334178e-05,3.645119795692153e-05
2.0794519514311105e-05,3.656422995845787e-05
2.076488635793794e-05,3.607265534810722e-05
2.067246168735437e-05,3.590521737351082e-05
2.0566545572364703e-05,3.639458736870438e-05
2.052650961559266e-05,3.581142664188519e-05
2.0454141122172587e-05,3.5312561522005126e-05
2.0343071810202673e-05,3.552373527782038e-05
2.033623786701355e-05,3.5246066545369104e-05
2.0278974261600524e-05,3.543146522133611e-05
2.0181782019790262e-05,3.483150794636458e-05
2.011847755056806e-05,3.502282197587192e-05
2.0056120774825104e-05,3.463621033006348e-05
1.9980163415311836e-05,3.509642920107581e-05
1.989773409150075e-05,3.422877853154205e-05
1.9875758880516514e-05,3.406999894650653e-05
1.983313813980203e-05,3.401985304662958e-05
1.9818078726530075e-05,3.3971035009017214e-05
1.9690271074068733e-05,3.388283585081808e-05
1.9669361790874973e-05,3.376894164830446e-05
1.9667464584927075e-05,3.3711323339957744e-05
1.955733387148939e-05,3.3679687476251274e-05
1.9555047401809134e-05,3.3374468330293894e-05
1.9487886675051413e-05,3.3662276109680533e-05
