neurons,epochs,learning_rate,batch_size,elapsed_time,val_rmse,val_mape,val_R2_score,val_R,test_rmse,test_mape,test_R2_score,test_R
10,500,0.0001,4098,444.8140776157379,224977.76089204906,0.20581579208374023,0.7480313777923584,0.8651815267482322,298590.9968903952,0.22290624678134918,0.6416358947753906,0.801086274218719
25,500,0.0001,4098,438.3618514537811,208508.40512554883,0.19223806262016296,0.7835715413093567,0.8857167660222286,284497.97558506456,0.212128683924675,0.6746660470962524,0.8213944213056317
50,500,0.0001,4098,449.16119146347046,200119.3627813161,0.17748421430587769,0.8006365895271301,0.8951688020152372,274178.13631287235,0.1989910900592804,0.6978402137756348,0.8355981421272133
75,500,0.0001,4098,449.4139895439148,199816.7224233247,0.19088409841060638,0.8012391328811646,0.8954583798414054,286893.99006601726,0.26501819491386414,0.6691631078720093,0.8184063176163422
100,500,0.0001,4098,449.5487868785858,199670.93312748353,0.17776156961917877,0.801529049873352,0.895621840042121,278050.1489156228,0.2333328127861023,0.6892455816268921,0.8303816596643279
125,500,0.0001,4098,453.6882951259613,197080.0582910407,0.18159769475460052,0.8066462874412537,0.898294085957488,273850.0546211375,0.22762805223464966,0.6985628604888916,0.8363144149823531
200,500,0.0001,4098,456.427442073822,199747.49628468437,0.2119002491235733,0.8013768196105957,0.8961946782838951,307034.8356001319,0.37515193223953247,0.6210809946060181,0.7955758381297262
350,250,0.0001,4098,231.64811968803406,199888.58848868788,0.18960678577423096,0.8010961413383484,0.8953361718392188,278022.12884588883,0.26159268617630005,0.6893081665039062,0.8304098078792285
