loss,val_loss
0.00020504863641690463,0.00011887935397680849
4.659311525756493e-05,6.392355135176331e-05
2.9876931876060553e-05,4.857599560637027e-05
2.5914438083418645e-05,4.538727080216631e-05
2.4348411898245104e-05,4.2832980398088694e-05
2.342939842492342e-05,4.19742900703568e-05
2.2833261027699336e-05,4.1794592107180506e-05
2.235984538856428e-05,3.966601434512995e-05
2.2032270862837322e-05,3.958269735448994e-05
2.168422724935226e-05,3.9625279896426946e-05
2.1462057702592574e-05,3.809515692410059e-05
2.128466439899057e-05,3.89597553294152e-05
2.1081117665744387e-05,3.970032776123844e-05
2.0884246623609215e-05,3.7387657357612625e-05
2.094065166602377e-05,3.6240231565898284e-05
2.086224230879452e-05,3.670081787277013e-05
2.0490915630944073e-05,3.5756769648287445e-05
2.0433404642972164e-05,3.543823549989611e-05
2.041212974290829e-05,3.52060524164699e-05
2.0145054804743268e-05,3.573392314137891e-05
1.998750667553395e-05,3.497249053907581e-05
1.9971786969108507e-05,3.4576332836877555e-05
1.9863482521031983e-05,3.4513061109464616e-05
1.9855038772220723e-05,3.4013875847449526e-05
1.986034658330027e-05,3.463636676315218e-05
1.9635450371424668e-05,3.379256304469891e-05
1.965841875062324e-05,3.369861951796338e-05
1.934032843564637e-05,3.378730616532266e-05
1.9474056898616254e-05,3.385755917406641e-05
1.9351853552507237e-05,3.416432809899561e-05
1.92381558008492e-05,3.411372745176777e-05
1.93885643966496e-05,3.449392897891812e-05
1.916730252560228e-05,3.4079261240549386e-05
1.9046545276069082e-05,3.333880886202678e-05
1.910971877805423e-05,3.356523302500136e-05
1.902178155432921e-05,3.3814896596595645e-05
1.8846087186830118e-05,3.292580367997289e-05
1.893776970973704e-05,3.323309647385031e-05
1.914496715471614e-05,3.309239764348604e-05
1.872329812613316e-05,3.285037382738665e-05
1.871853783086408e-05,3.2720970921218395e-05
1.884940684249159e-05,3.2347601518267766e-05
1.860202246461995e-05,3.226996341254562e-05
1.865944250312168e-05,3.192731674062088e-05
1.861458622443024e-05,3.222508166800253e-05
1.8617482055560686e-05,3.200041101081297e-05
1.8620188711793162e-05,3.1912124541122466e-05
1.856420021795202e-05,3.262809696025215e-05
1.850374974310398e-05,3.2022529921960086e-05
1.830422661441844e-05,3.1917617889121175e-05
1.8713899407885037e-05,3.336345616844483e-05
1.8477127014193684e-05,3.186157482559793e-05
1.8239710698253475e-05,3.195180033799261e-05
1.8434206140227616e-05,3.2348827517125756e-05
1.836095361795742e-05,3.143438880215399e-05
1.833802343753632e-05,3.1830568332225084e-05
1.8268494386575185e-05,3.257228308939375e-05
1.826948209782131e-05,3.187737092957832e-05
1.8224214727524668e-05,3.143811409245245e-05
1.8224305676994845e-05,3.195832687197253e-05
1.8272428860655054e-05,3.130321056232788e-05
1.8179220205638558e-05,3.126455339952372e-05
1.8279353753314354e-05,3.115057188551873e-05
1.8142061890102923e-05,3.1347142794402316e-05
1.8052269297186285e-05,3.103132257820107e-05
1.818807504605502e-05,3.271480818511918e-05
1.8108585209120065e-05,3.161216591252014e-05
1.8059365174849518e-05,3.085530988755636e-05
1.798538869479671e-05,3.135947554255836e-05
1.808527667890303e-05,3.130042023258284e-05
1.807740773074329e-05,3.098481829511002e-05
1.8074737454298884e-05,3.1122144719120115e-05
1.793512092262972e-05,3.20436738547869e-05
1.7993654182646424e-05,3.091779217356816e-05
1.7887814465211704e-05,3.069663580390625e-05
1.7913553165271878e-05,3.080980968661606e-05
1.795328535081353e-05,3.207840563845821e-05
1.8064569303533062e-05,3.117375308647752e-05
1.7925103747984394e-05,3.064564953092486e-05
1.7866852431325242e-05,3.234332689316943e-05
1.7798662156565115e-05,3.0833260098006576e-05
1.7804550225264393e-05,3.090968311880715e-05
1.7935390133061446e-05,3.0321429221658036e-05
1.7712351109366864e-05,3.0636769224656746e-05
1.7731286789057776e-05,3.098487650277093e-05
1.7842230590758845e-05,3.042490607185755e-05
1.7723046767059714e-05,3.0379949748748913e-05
1.7784805095288903e-05,3.061789175262675e-05
1.7769518308341503e-05,3.057797584915534e-05
1.773051917552948e-05,3.069564627367072e-05
1.7699141608318314e-05,3.07984410028439e-05
1.7700338503345847e-05,3.0847786547383294e-05
1.7724714780342765e-05,3.0524690373567864e-05
1.7660702724242583e-05,3.02747284877114e-05
1.7718952221912332e-05,3.0142286050249822e-05
1.7614755051909015e-05,3.153367651975714e-05
1.779284684744198e-05,3.042048410861753e-05
1.7562553694006056e-05,3.087632649112493e-05
1.764420812833123e-05,3.1648600270273164e-05
1.749625698721502e-05,3.044826371478848e-05
