loss,val_loss
0.0003246452542953193,0.00016902490460779518
7.09342784830369e-05,9.33143965085037e-05
4.3557069147937e-05,6.83238249621354e-05
3.403896698728204e-05,5.962756767985411e-05
3.032627319043968e-05,5.427231008070521e-05
2.814471190504264e-05,5.127445183461532e-05
2.6643227101885714e-05,4.788459409610368e-05
2.5477382223471068e-05,4.614909994415939e-05
2.45814098889241e-05,4.4437485485104844e-05
2.386433152423706e-05,4.29819556302391e-05
2.3285567294806242e-05,4.1653991502244025e-05
2.2789272406953387e-05,4.062953303218819e-05
2.239799505332485e-05,3.983118222095072e-05
2.2062758944230154e-05,3.9061036659404635e-05
2.1806376025779173e-05,3.840524368570186e-05
2.1525505871977657e-05,3.838893098873086e-05
2.124025922967121e-05,3.886302874889225e-05
2.107695399899967e-05,3.77240139641799e-05
2.0888744984404184e-05,3.6995286791352555e-05
2.077838325931225e-05,3.652184022939764e-05
2.0567686078720726e-05,3.6224006180418655e-05
2.0457116988836788e-05,3.6269477277528495e-05
2.02902483579237e-05,3.543356797308661e-05
2.019413841480855e-05,3.545273284544237e-05
2.0076800865354016e-05,3.522763654473238e-05
2.0033987311762758e-05,3.53544601239264e-05
1.992117722693365e-05,3.502154504531063e-05
1.988078474823851e-05,3.4698208764893934e-05
1.97282151930267e-05,3.469430885161273e-05
1.9679233446368016e-05,3.446883783908561e-05
1.9613329641288146e-05,3.5428747651167214e-05
1.9534771126927808e-05,3.42734856531024e-05
1.9429417079663835e-05,3.401034337002784e-05
1.9434781279414892e-05,3.4026150387944654e-05
1.934358624566812e-05,3.38835125148762e-05
1.930701546370983e-05,3.419298809603788e-05
1.9291992430225946e-05,3.3414282370358706e-05
1.9192317267879844e-05,3.343177741044201e-05
1.9218983652535826e-05,3.3453648939030245e-05
1.9133165551465936e-05,3.389167977729812e-05
1.9051905837841332e-05,3.319622919661924e-05
1.9018296370632015e-05,3.393606311874464e-05
1.9017003069166094e-05,3.296761497040279e-05
1.895061541290488e-05,3.289942105766386e-05
1.891849206003826e-05,3.278485019109212e-05
1.893400985863991e-05,3.300655953353271e-05
1.8880347852245905e-05,3.2656786061124876e-05
1.8858992916648276e-05,3.289657979621552e-05
1.8821740013663657e-05,3.2959280360955745e-05
1.875546331575606e-05,3.258779543102719e-05
