loss,val_loss
0.0006076484569348395,0.0002478836686350405
0.00012561329640448093,0.0001757455465849489
8.276662993011996e-05,0.00014046985597815365
6.0075235523981974e-05,0.00010947963164653629
4.650084156310186e-05,8.624442853033543e-05
3.838478369289078e-05,7.45236684451811e-05
3.392250800970942e-05,6.576519808731973e-05
3.1323164876084775e-05,6.0595932154683396e-05
2.9554619686678052e-05,5.594012327492237e-05
2.8202370231156237e-05,5.294532093103044e-05
2.715627670113463e-05,5.086768578621559e-05
2.633633994264528e-05,4.9654052418190986e-05
2.563263478805311e-05,4.787638317793608e-05
2.5034536520252004e-05,4.639477265300229e-05
2.44523416768061e-05,4.5310924178920686e-05
2.4016993847908452e-05,4.4151714973850176e-05
2.357187076995615e-05,4.36526897829026e-05
2.3221844458021224e-05,4.2410410969750956e-05
2.287627648911439e-05,4.157002331339754e-05
2.260062683490105e-05,4.099036959814839e-05
2.2356611225404777e-05,4.082973100594245e-05
2.212727122241631e-05,4.013384022982791e-05
2.1890962671022862e-05,4.042173532070592e-05
2.1701976947952062e-05,3.9310554711846635e-05
2.1522391762118787e-05,3.907594145857729e-05
2.1459283743752167e-05,3.838654811261222e-05
2.1221225324552506e-05,3.79829180019442e-05
2.11018486879766e-05,3.8166755985002965e-05
2.0995599697926082e-05,3.751102485693991e-05
2.087424581986852e-05,3.6973407986806706e-05
2.0694076738436706e-05,3.721402390510775e-05
2.060448423435446e-05,3.620687857619487e-05
2.058934114756994e-05,3.5964956623502076e-05
2.0370436686789617e-05,3.599499541451223e-05
2.0330946426838636e-05,3.583704892662354e-05
2.0225681510055438e-05,3.553874194039963e-05
2.009990748774726e-05,3.6524794268189e-05
2.006653812713921e-05,3.493891199468635e-05
1.992327452171594e-05,3.4531436540419236e-05
1.9883304048562422e-05,3.4470143873477355e-05
1.9828465156024322e-05,3.441843364271335e-05
1.969859476957936e-05,3.423411908443086e-05
1.9666122170747258e-05,3.416368781472556e-05
1.959481232916005e-05,3.383301736903377e-05
1.953851642610971e-05,3.378018664079718e-05
1.951484773599077e-05,3.347324673086405e-05
1.941105438163504e-05,3.320290852570906e-05
1.935264481289778e-05,3.31562441715505e-05
1.933417297550477e-05,3.3158197766169906e-05
1.927560879266821e-05,3.309437306597829e-05
1.921735929499846e-05,3.2862910302355886e-05
1.9175255147274584e-05,3.343355274409987e-05
1.916366454679519e-05,3.261954407207668e-05
1.909736602101475e-05,3.293612826382741e-05
1.9037122910958715e-05,3.2333380659110844e-05
1.9038619939237833e-05,3.233863026252948e-05
1.8970415112562478e-05,3.2267544156638905e-05
1.890483508759644e-05,3.2173877116292715e-05
1.8944665498565882e-05,3.21282641380094e-05
1.8866108803194948e-05,3.2026910048443824e-05
1.8838594769476913e-05,3.19504106300883e-05
1.8829876353265718e-05,3.200152423232794e-05
1.88066806003917e-05,3.219079371774569e-05
1.8787424778565764e-05,3.1957457395037636e-05
1.8767586880130693e-05,3.1793264497537166e-05
1.8712122255237773e-05,3.148657197016291e-05
1.8660266505321488e-05,3.220301732653752e-05
1.8671093130251393e-05,3.15313991450239e-05
1.8610977349453606e-05,3.146667586406693e-05
1.860054544522427e-05,3.156873572152108e-05
1.8588241800898686e-05,3.134462531306781e-05
1.8570963220554404e-05,3.119392931694165e-05
1.8568487575976178e-05,3.142778587061912e-05
1.8537881260272115e-05,3.11980074911844e-05
1.8498400095268153e-05,3.1170755391940475e-05
1.8486012777430005e-05,3.117827873211354e-05
1.8503247702028602e-05,3.153705984004773e-05
1.84472282853676e-05,3.113292041234672e-05
1.8442222426529042e-05,3.128432945231907e-05
1.8402215573587455e-05,3.133835343760438e-05
1.839037395257037e-05,3.105570067418739e-05
1.8374010323896073e-05,3.1643670808989555e-05
1.836324554460589e-05,3.088357698288746e-05
1.832493580877781e-05,3.155870581394993e-05
1.8315657143830322e-05,3.106430085608736e-05
1.838613570726011e-05,3.084329728153534e-05
1.830916153267026e-05,3.080974784097634e-05
1.8251837900606915e-05,3.154040314257145e-05
1.8285771147930063e-05,3.093167470069602e-05
1.8265605831402354e-05,3.097103035543114e-05
1.8259035641676746e-05,3.1522595236310735e-05
1.8229049601359293e-05,3.103093695244752e-05
1.8217999240732752e-05,3.0890376365277916e-05
1.8214470401289873e-05,3.0640785553259775e-05
1.825319486670196e-05,3.132609708700329e-05
1.814858478610404e-05,3.0544866604031995e-05
1.815779432945419e-05,3.1102994398679584e-05
1.82483927346766e-05,3.086365177296102e-05
1.812505979614798e-05,3.060089875361882e-05
1.80858769454062e-05,3.063378972001374e-05
