loss,val_loss
0.001515024807304144,0.00033077970147132874
0.00019333540694788098,0.0001804058556444943
0.00011617696145549417,0.0001387965603498742
8.304374932777137e-05,0.00011224317859159783
6.544813368236646e-05,9.417687397217378e-05
5.4322903451975435e-05,8.120132406475022e-05
4.685107705881819e-05,7.289178756764159e-05
4.172089393250644e-05,6.657896301476285e-05
3.8003840018063784e-05,6.231309089343995e-05
3.5176464734831825e-05,5.874909402336925e-05
3.293473127996549e-05,5.611086817225441e-05
3.111752448603511e-05,5.2437233534874395e-05
2.9713555704802275e-05,5.072055137134157e-05
2.8484959329944104e-05,4.8064310249174014e-05
2.752145337581169e-05,4.6934033889556304e-05
2.668372508196626e-05,4.4810578401666135e-05
2.594112083897926e-05,4.401676415000111e-05
2.531682730477769e-05,4.2766532715177163e-05
2.4775508791208267e-05,4.18147501477506e-05
2.4326653146999888e-05,4.088873174623586e-05
2.390866939094849e-05,4.026447641081177e-05
2.3565809897263534e-05,3.9792077586753294e-05
2.3284876078832895e-05,3.963812196161598e-05
2.299398329341784e-05,3.879150244756602e-05
2.2793903553974815e-05,3.8579339161515236e-05
