layer_1_neurons,layer_2_neurons,epochs,learning_rate,batch_size,elapsed_time,val_rmse,val_mape,val_R2_score,val_R,test_rmse,test_mape,test_R2_score,test_R
10,5,500,0.0001,4098,453.0085093975067,222656.84621857016,0.1950448900461197,0.7532033324241638,0.8683021308678356,291074.6174024798,0.21213288605213165,0.659450888633728,0.8123184482038732
25,10,500,0.0001,4098,453.7669720649719,200910.20019899437,0.1707049012184143,0.7990577816963196,0.8945219196338984,276199.2648795431,0.1988781988620758,0.6933690309524536,0.8330717732276861
50,25,500,0.0001,4098,466.14723014831543,200515.42161140623,0.22221527993679047,0.7998467087745667,0.8964162583174374,280254.80885793915,0.26303631067276,0.6842980980873108,0.8294998742331728
75,50,500,0.0001,4098,474.19355845451355,199505.688019164,0.17567341029644012,0.8018574118614197,0.8960154069267916,288826.8734311265,0.2399383783340454,0.6646901965141296,0.8164334888513944
100,75,500,0.0001,4098,506.6939055919647,197617.48133199147,0.2153705507516861,0.8055902719497681,0.8987528229872188,281345.0191064345,0.301765501499176,0.6818370819091797,0.8311053764558429
125,100,500,0.0001,4098,486.90375328063965,197918.2383106721,0.17880073189735413,0.8049980998039246,0.8986922769690175,278596.2269378392,0.242216095328331,0.6880237460136414,0.829945042280654
200,125,250,0.0001,4098,254.85801935195923,199381.47942073256,0.19509707391262054,0.8021040558815002,0.8961158412947485,285167.9708242144,0.2967659533023834,0.6731318831443787,0.8225944026517318
350,200,500,0.0001,4098,541.6695597171783,199143.79287339086,0.19183261692523956,0.8025756478309631,0.8960758921504198,285492.6875140588,0.2963431179523468,0.6723871231079102,0.823412200253547
