,model_configurations,rmse,mape,R,elapsed_time
0,[10],0.2287023208043156,2294725390676.4336,0.39318322379408743,1.01202392578125
1,[20],0.2592972947258022,2894378286865.073,0.19521372503623807,0.9863173961639404
2,[50],0.17851891412360546,3949389402891.9062,0.37917908746614726,0.9546292066574097
3,[100],0.13967049351976663,3787133325532.4126,0.5995350517316673,1.0854028463363647
4,[200],0.11581641890121733,3904005458190.346,0.7715218480236173,0.9820261716842651
