neurons,epochs,learning_rate,batch_size,elapsed_time,val_rmse,val_mape,val_R2_score,val_R,test_rmse,test_mape,test_R2_score,test_R
10,10,0.0001,4098,13.179940223693848,1397470.7744722248,3.2553534507751465,-8.72193431854248,-0.05535563444842813,1906210.861889104,4.5469970703125,-13.605382919311523,-0.04428490829190508
10,25,0.0001,4098,23.075843572616577,951601.6903894192,1.9231116771697998,-3.507935047149658,0.06882939998336889,1340731.4159070041,2.5274949073791504,-6.225279331207275,0.056860494420559314
10,50,0.0001,4098,45.4036979675293,249032.79963892305,0.2770414650440216,0.6912689208984375,0.831974514060043,375244.11101041944,0.3914225995540619,0.4340229034423828,0.6922211850693154
10,75,0.0001,4098,68.09531259536743,227874.3344916228,0.2059318721294403,0.74150151014328,0.8616549143271451,313136.9381213274,0.24082553386688232,0.6058698892593384,0.779373693281463
10,100,0.0001,4098,88.89871215820312,227140.73367848402,0.2275911420583725,0.7431632280349731,0.8621615173614531,337558.3640676083,0.4328368306159973,0.5419964790344238,0.7553626715074229
10,125,0.0001,4098,111.19554805755615,229773.57508643155,0.21304242312908173,0.7371745705604553,0.8598997194017463,327978.0144826784,0.2660769522190094,0.5676250457763672,0.7644652760366407
25,10,0.0001,4098,13.138606786727905,2036405.9018574858,4.835215091705322,-19.64409828186035,0.04501765231561924,3706016.5712657035,9.49375057220459,-54.205936431884766,0.03226108549141451
25,25,0.0001,4098,23.469565629959106,581649.4926946984,1.3896901607513428,-0.6841855049133301,0.5408257541973651,876961.7322369318,2.109520673751831,-2.0912373065948486,0.4452458791653698
25,50,0.0001,4098,45.319035053253174,233376.41025604965,0.2573583722114563,0.728867769241333,0.8554593404247158,319115.69332767074,0.3387000560760498,0.5906758308410645,0.779385812814291
25,75,0.0001,4098,67.09332728385925,223941.89875054645,0.21966779232025146,0.7503463625907898,0.8663201275266148,301695.75562145386,0.23036128282546997,0.6341446042060852,0.7984199677391715
25,100,0.0001,4098,88.72385931015015,212084.92427327312,0.21473678946495056,0.7760831117630005,0.8812196036117594,305585.04843005654,0.2983350455760956,0.6246509552001953,0.7923573672463805
25,125,0.0001,4098,111.09529066085815,213120.05765764986,0.1980474442243576,0.7738920450210571,0.879855675875456,288975.25895481085,0.22513918578624725,0.6643456220626831,0.8151597179340083
50,10,0.0001,4098,13.413660764694214,425305.2284465828,0.9919041395187378,0.09953123331069946,0.6223561447989935,610998.1287565454,1.389224648475647,-0.5005512237548828,0.4869053569136463
50,25,0.0001,4098,24.0436589717865,348549.6525432209,0.7541628479957581,0.3952212333679199,0.700324201395012,573128.4296420829,1.3211016654968262,-0.3203071355819702,0.5187555606312855
50,50,0.0001,4098,46.506330251693726,231052.8794194091,0.240268737077713,0.7342398166656494,0.8578807488768003,333652.1766390862,0.3449411988258362,0.5525350570678711,0.7618272292319961
50,75,0.0001,4098,68.36309933662415,211738.34902539503,0.20810265839099884,0.776814341545105,0.8814744858474689,295545.7911864082,0.2956112027168274,0.648908257484436,0.8076489949185746
50,100,0.0001,4098,91.11301803588867,216236.1115447649,0.2066023051738739,0.767231822013855,0.8771317506637566,294924.43029359233,0.24345864355564117,0.6503829956054688,0.8079224411024192
50,125,0.0001,4098,112.9490659236908,220223.55361768187,0.19216956198215485,0.7585680484771729,0.8728198039692256,295274.249740813,0.21704977750778198,0.649553120136261,0.8082661812810956
75,10,0.0001,4098,13.792252540588379,420849.2454834629,0.9413573741912842,0.11830103397369385,0.6315058188701808,554530.953653626,1.1849455833435059,-0.23601186275482178,0.5385987455771372
75,25,0.0001,4098,23.780373334884644,385502.829914386,0.8308625817298889,0.2601863145828247,0.6499876616929768,637484.1816013947,1.434226393699646,-0.6334652900695801,0.44880953959401715
75,50,0.0001,4098,46.46759843826294,218610.82864304777,0.22585642337799072,0.7620911598205566,0.8730555837246817,297219.14210225426,0.2782661020755768,0.6449213027954102,0.8033577068441252
75,75,0.0001,4098,68.6574285030365,214744.74015444476,0.21079695224761963,0.7704315185546875,0.8781061853012677,304230.0569503283,0.32024478912353516,0.6279722452163696,0.7934124336342216
75,100,0.0001,4098,91.28179693222046,207776.46080343172,0.18650905787944794,0.7850883603096008,0.8866381012725278,292197.1849282604,0.25937214493751526,0.6568191051483154,0.8112686483354937
75,125,0.0001,4098,113.4591646194458,211909.31554794847,0.19170695543289185,0.7764537930488586,0.8832851160715492,366016.60989632696,0.43831467628479004,0.46151620149612427,0.7309010196221049
100,10,0.0001,4098,13.812352180480957,417528.1519801988,0.8918525576591492,0.13216185569763184,0.6587832135068539,710138.0937029079,1.5313501358032227,-1.0270137786865234,0.46482475923130645
100,25,0.0001,4098,24.14614248275757,268238.056420039,0.459712415933609,0.6418144702911377,0.8064359443820242,392410.8423374665,0.7020876407623291,0.3810535669326782,0.6747294092817572
100,50,0.0001,4098,46.08115243911743,225234.04985925197,0.2676772475242615,0.7474570274353027,0.8646319061166755,306878.1380548311,0.35537800192832947,0.6214677095413208,0.792355115872057
100,75,0.0001,4098,68.49260902404785,215072.07379852922,0.2179683893918991,0.7697311043739319,0.8777244261421027,304623.31382873503,0.31969091296195984,0.6270098686218262,0.7926960040500709
100,100,0.0001,4098,91.09770917892456,209216.44050121875,0.20691397786140442,0.782099187374115,0.8847370623637378,295166.18212796666,0.27877306938171387,0.6498095989227295,0.8074942164071982
100,125,0.0001,4098,113.05743598937988,206861.2272998495,0.18952924013137817,0.7869775295257568,0.8878177508636018,282958.3529496876,0.23050382733345032,0.6781777143478394,0.823622327152342
125,10,0.0001,4098,13.884500503540039,312767.0636368222,0.6264567971229553,0.5130221247673035,0.7586570982851502,553819.6281100914,1.1450880765914917,-0.23284292221069336,0.552031428728051
125,25,0.0001,4098,24.546507596969604,291473.04649315344,0.5604273080825806,0.5770743489265442,0.7801199836483961,493210.1441292545,1.0686460733413696,0.02223372459411621,0.6165068995242332
125,50,0.0001,4098,46.4995641708374,221877.37615178345,0.2540909945964813,0.7549282312393188,0.8692360016044163,321218.09762216074,0.4383816123008728,0.5852646827697754,0.7759013436808377
