,model_configurations,rmse,mape,R,elapsed_time
0,[10],0.2622429896022173,1656257760781.2847,0.15168986448079297,0.9860228300094604
1,[20],0.2187716037650817,2657482401063.415,0.29209047663156584,1.128533935546875
2,[50],0.1675165971843215,3795524225054.622,0.42816129349723486,1.0655487537384034
3,[100],0.15030573410868808,4016622459210.31,0.6250795524153908,1.0005806922912597
4,[200],0.11563555015529818,3885577098155.6772,0.7727261839215426,0.9624474287033081
