,0
0,4395953860308.9663
1,3860272903043.6865
2,4398404152245.726
3,4122772088982.4595
4,3816926714905.542
5,3008979776787.2256
6,3627310210473.124
7,3698589644850.49
8,5048239742377.429
9,2878321887582.127
