,0,1,2,3,4,5,6,7,8,9
0,2041677316895.8044,2480612048896.574,766030291544.3228,983067518727.1392,1818388326150.7385,357836176210.4552,3240603156480.689,1873819429414.0754,504161120756.75525,2496382222736.2905
1,3731922699439.397,3777426192035.087,4148908127107.787,2399710881143.549,1984586292249.5977,2968099634801.223,2105429714695.0325,3085599685457.853,620138383310.6733,1753002400393.9485
2,4635176909649.868,3066876312401.738,3978918919393.6016,3701830921141.6587,3720021924489.9473,3590951528198.8447,4031660348491.5303,3783507728234.8047,3735062494033.9976,3711235164510.2324
3,4339395819170.999,4537603076596.217,4152276255519.8726,3277112219898.3154,3749532638233.5884,3857338117844.8896,3954508479313.795,3786517806305.3804,4339123291711.107,4172816887508.94
4,4395953860308.9663,3860272903043.6865,4398404152245.726,4122772088982.4595,3816926714905.542,3008979776787.2256,3627310210473.124,3698589644850.49,5048239742377.429,2878321887582.127
