,model_configurations,rmse,mape,R,elapsed_time
0,[10],0.10890527889776734,915237805115.1609,0.39665969195353734,0.11204425223783898
1,[20],0.05617068067219994,1034681904628.5913,0.28657926986007953,0.14426423234915953
2,[50],0.05259805171276876,373171807321.2023,0.37723866175922066,0.10602173996290194
3,[100],0.019526455862233994,349685437235.8837,0.07832674716426496,0.052264450672650974
4,[200],0.009902585564875378,618185013416.7073,0.0055426782581575835,0.03385642858813808
