,0,1,2,3,4,5,6,7,8,9
0,6337868326663.179,4548179269882.46,4511940074122.044,3856243916001.371,4330354127348.163,4852240121057.516,4723824854591.13,4307126276396.397,6239143003711.376,3781423261446.8384
1,4661984854815.961,4355434837667.0,4205132260727.314,4401715401803.589,3810624619695.4116,4710394897783.328,4225680667523.7544,3757532505862.8394,4335718744464.2456,4238198107461.3604
2,4122646464462.666,3753624642135.985,3896381973080.003,3529494130788.4575,4088755669741.8896,3886518606873.5527,4263451091144.4507,3915471989685.678,3795573410941.4634,4302320217812.9434
3,3948226434922.768,3850298643531.5015,3962121243373.865,4370512235245.914,3835958215855.4116,4114884751460.5205,4100938383760.2227,3911997469172.0967,4168406525702.8604,4107123447658.7544
4,4222202464206.6777,4027398935627.5337,3946994741748.1084,3583320350121.115,4210187113147.94,3805037397567.016,3991534158224.1973,3561507923319.162,3849604639669.641,4040603013819.9224
