,model_configurations,rmse,mape,R,elapsed_time
0,"[10, 5]",0.0583004057613842,853487418326.3944,0.37281763965477677,0.02029703497886066
1,"[20, 10]",0.05506588742834588,911234660022.3628,0.4083552830494305,0.016366712816949756
2,"[50, 20]",0.04377466262282937,687316918065.4613,0.2307371162724602,0.022330211460803082
3,"[100, 50]",0.00897652354488656,270945893663.0742,0.03247589825554484,0.01149575048975844
4,"[200, 100]",0.00701245387091951,499362494038.04333,0.0025940361512753994,0.017327195424371368
