,0
0,1995636748788.279
1,2422595208367.362
2,3547163812839.606
3,3678632941818.353
4,3171836007899.0894
5,3466105307536.2324
6,4437064995915.618
7,4108801578459.1646
8,3177343231351.1914
9,3092156507910.764
