,model_configurations,rmse,mape,R,elapsed_time
0,"[10, 5]",0.21616373007782616,2085198463775.905,0.26320747811023976,0.7257107257843017
1,"[20, 10]",0.17956481073981706,2876859850392.9775,0.3716124084820711,0.7231221437454224
2,"[50, 20]",0.15569263131568542,3309733634088.566,0.547684212626151,0.7366430997848511
3,"[100, 50]",0.1378219714872226,4251898054686.629,0.6580937817631506,0.7330564498901367
4,"[200, 100]",0.11297643666255959,4096272026190.0376,0.7719865168450173,0.7532171010971069
