,0
0,1640205596722.5005
1,716747679894.4819
2,3074515674487.308
3,2616625962009.703
4,1447337483689.2104
5,1171051620502.6646
6,3257779752061.6553
7,1868519465959.7427
8,3197864630921.893
9,1861336771509.89
