,0,1,2,3,4,5,6,7,8,9
0,2448247776231.6553,2808726312810.6704,2773652724361.8706,811821707764.2833,2308938163175.609,3569627686662.9155,2225880713966.2476,1586743054236.903,2080836566641.9832,2332779200912.1973
1,2679947471797.637,2935230204254.179,2752341363437.895,2759820932770.898,3998165250548.6807,2385403189498.385,3558924641255.626,4797742813084.956,1835162677749.235,1241044324253.2375
2,3633697419364.489,3445852752622.107,3990422360763.91,3841399762644.9414,4253349570310.8794,3753370528693.6455,4334594261791.909,4353432210957.24,4817435172664.977,3070339989104.96
3,3668221656289.3657,3884431275683.0337,3778024852205.91,3540240551437.0854,3629246137519.4414,3575462065826.9834,4173062816943.519,3797184432877.8794,3738630721436.6777,4086828745104.2266
4,3700266138849.323,3464637914936.7485,4036577709581.121,3229040790253.7783,3471124150322.471,3824983870589.44,3459067879224.704,4081437939163.1294,5758386150426.052,4014532038556.6904
