,model_configurations,rmse,mape,R,elapsed_time
0,"[10, 5]",0.17638173315580047,6413911671983.792,0.7218476849720769,1.2866699695587158
1,"[20, 10]",0.15033222230645876,5998633428343.533,0.7661058129308046,1.419342041015625
2,"[50, 20]",0.14213472041941436,5385375851895.428,0.7643767223880371,1.4137377738952637
3,"[100, 50]",0.1182647981874315,4087318148770.943,0.7651898412168525,1.1211090087890625
4,"[200, 100]",0.11479105129915103,4087583310623.838,0.7748578469911904,1.2973322868347168
